gvkey,fyear,datadate,at,ceq,csho,prcc_f,dlc,dltt,dvt,dvc,oibdp,sale,ppent,xad,xrd,fyr,exchg,permno,linktype,linkprim,linkdt,linkenddt,hexcd,mve,market_value_of_assets,market_debt_ratio,ln_market_value_of_assets,profits_to_sales,tangible_assets,market_to_book_assets,advertising_to_sales,rd_to_sales,rd_positive,firm_age,ln_firm_age,prev_year_dvt,prev_year_dvc
186392,2017,2017-12-31,2085.782,287.466,86.118,13.57,38.707,1503.609,0.0,0.0,236.463,1263.324,1675.241,118.0,0.0,12,11.0,13860.0,LC,P,2013-04-30,,1.0,1168.62126,2966.93726,0.5198343830162421,8.169919949785172,0.1995474197570171,0.700704271239224,1.4852464276721045,0.0926881957193824,0.0,0.0,4,1.3862943611198906,62.385,62.385
186428,2013,2013-12-31,17640.984,1471.013,122.626,18.34,750.0,1730.75,22.354,12.229,457.104,1208.657,88.859,29.201,0.0,12,11.0,13384.0,LC,P,2012-05-03,2017-06-30,1.0,2248.96084,18418.93184,0.13468479179735104,9.838716101872581,0.44715824972723167,0.006405020085098414,1.0275589783585681,0.03307752498998931,0.0,0.0,1,0.0,15.468,4.744
186428,2014,2014-12-31,21617.788,1597.594,123.679,19.06,2357.0,1750.75,27.337,17.212,407.064,1071.006,69.63,21.437,0.0,12,11.0,13384.0,LC,P,2012-05-03,2017-06-30,1.0,2357.32174,22377.51574,0.18356595288445546,9.821134318985626,0.3781916623161079,0.005037077296821991,1.0440988915357556,0.024159873313934394,0.0,0.0,2,0.6931471805599453,22.354,12.229
186428,2015,2015-12-31,26601.026,1718.321,125.021,15.98,3040.0,3113.17,35.044,24.919,388.71,1094.623,94.849,25.221,0.0,12,11.0,13384.0,LC,P,2012-05-03,2017-06-30,1.0,1997.8355800000002,26880.54058,0.22890797086789838,10.015811972129944,0.3800763020935457,0.0032209585920631653,1.0351436391179338,0.020015760882758825,0.0,0.0,3,1.0986122886681098,27.337,17.212
186428,2016,2016-12-31,27838.086,1866.332,127.037,19.45,1205.0,4661.278,40.198,30.073,388.475,1163.118,81.859,22.971,0.0,12,11.0,13384.0,LC,P,2012-05-03,2017-06-30,1.0,2470.86965,28442.62365,0.20624953844579666,10.19915790529796,0.3551085624913783,0.003565614348860078,1.0105076616217734,0.02304080948417857,0.0,0.0,4,1.3862943611198906,35.044,24.919
186501,2012,2013-03-31,2291.347,883.678,53.623,26.9,8.626,740.436,71.608,71.608,166.645,4417.767,516.937,1.1,0.0,3,11.0,12745.0,LC,P,2011-05-12,,1.0,1442.4587,2850.1277,0.26281699588407914,6.852641812810711,0.026524010796101866,0.3409296296939011,1.2632906397628203,0.0005822325221503991,0.0,0.0,1,0.0,19.06,19.06
186501,2013,2014-03-31,4167.223,1526.579,79.341,37.53,7.08,1629.834,145.09,145.09,243.399,9699.274,829.346,,0.0,3,11.0,12745.0,LC,P,2011-05-12,,1.0,2977.6677299999997,5618.311729999999,0.29135335998880224,7.955119079276436,0.03772154574924391,0.2256039787950057,1.2438655952153908,0.0002489945712392709,0.0,0.0,2,0.6931471805599453,71.608,71.608
186785,2012,2012-12-31,2049.163,745.143,209.529,11.96,2.202,649.968,50.036,50.036,315.651,3797.394,1176.35,147.194,0.0,12,11.0,12684.0,LC,P,2011-04-29,,1.0,2505.96684,3809.98684,0.1711738195925107,8.612215215162138,0.09123592777765172,0.5455778642064705,2.931853353353887,0.038207329352816524,0.0,0.0,1,0.0,50.027,50.027
186785,2013,2013-12-31,2180.259,694.537,209.867,12.12,12.276,771.171,50.036,50.036,358.452,4033.31,1244.311,160.184,0.0,12,11.0,12684.0,LC,P,2011-04-29,,1.0,2543.5880399999996,4029.3100399999994,0.1944370108585638,8.24538101404654,0.08312305754946682,0.5740636542822606,1.8592893000703214,0.03876184562360398,0.0,0.0,2,0.6931471805599453,50.036,50.036
186785,2014,2014-12-31,1794.78,456.914,210.216,5.41,38.684,761.08,50.036,50.036,287.851,3651.065,1116.281,146.363,0.0,12,11.0,12684.0,LC,P,2011-04-29,,1.0,1137.26856,2475.13456,0.32311940244574017,8.301350434327981,0.08887291083502136,0.5707170570101993,1.8480877914045988,0.039715271080080626,0.0,0.0,3,1.0986122886681098,50.036,50.036
